1	17	3
1	6	1
1	20	5
1	9	3
1	15	3
1	19	2
1	14	3
1	3	1
1	9	5
1	20	3
1	11	3
1	10	2
2	17	2
2	8	2
2	19	1
2	2	5
2	12	2
2	20	2
2	20	1
2	18	5
3	6	5
3	6	1
3	11	1
3	7	1
3	9	1
3	9	5
3	11	1
3	4	1
3	15	1
3	9	1
4	16	1
4	11	1
4	13	3
4	16	1
4	6	2
4	9	1
4	20	1
4	15	3
4	8	1
4	4	2
5	10	1
5	13	3
5	20	5
5	1	3
5	16	1
5	4	3
5	6	5
5	19	3
6	5	1
6	20	4
6	4	4
6	14	2
6	14	3
6	16	1
6	13	4
6	9	4
6	9	2
6	12	3
7	16	3
7	17	3
7	9	1
7	18	3
7	19	3
7	11	3
7	9	3
7	17	3
7	7	1
7	19	3
7	12	3
7	19	3
8	7	1
8	7	3
8	11	5
8	4	1
8	9	2
8	9	1
8	2	3
8	13	5
8	10	1
8	7	2
9	19	2
9	6	5
9	13	3
9	18	3
9	19	2
9	13	5
9	18	3
9	13	3
10	12	5
10	13	1
10	20	2
10	7	1
10	16	4
10	20	5
10	12	1
10	12	2
10	12	1
10	19	4
11	8	3
11	10	2
11	4	2
11	5	1
11	13	3
11	6	2
11	8	2
11	3	1
12	12	1
12	3	4
12	11	3
12	3	2
12	9	1
12	1	4
12	12	3
12	5	2
13	2	3
13	3	4
13	15	2
13	16	3
13	12	3
13	5	3
13	14	4
13	11	2
13	17	3
13	15	3
14	15	3
14	6	2
14	6	1
14	14	1
14	16	5
14	12	2
14	18	3
14	11	2
14	4	1
14	19	1
14	7	5
14	17	2
15	15	3
15	9	2
15	18	2
15	19	5
15	6	1
15	4	3
15	16	3
15	15	2
15	17	2
15	9	5
15	14	1
15	8	3
16	6	2
16	6	4
16	16	1
16	18	3
16	13	1
16	19	2
16	2	4
16	7	1
16	5	3
16	7	1
17	14	1
17	12	3
17	10	4
17	7	4
17	7	1
17	1	3
17	3	4
17	11	4
17	11	2
18	1	3
18	8	2
18	19	3
18	10	1
18	1	2
18	15	3
18	9	2
18	4	3
18	10	1
18	11	2
19	12	1
19	20	5
19	4	2
19	10	2
19	6	3
19	11	3
19	20	1
19	11	5
19	16	2
19	18	2
19	16	3
19	13	3
20	1	2
20	18	2
20	7	1
20	20	4
20	12	1
20	3	2
20	2	2
20	18	1
20	19	4
20	15	1
20	14	5
